model,seed,harrell_c_index,harrell_c_index_final_risk,ctd_antolini,mean_horizon_c_index,ibs,ibll,nbll
CoxPH,42,0.741145366891875,,0.7411454541831352,0.7266238166475811,0.1146541961582132,0.36926902780212845,0.36926902780212845
CoxPH,123,0.741145366891875,,0.7411454541831352,0.7266238166475811,0.1146541961582132,0.36926902780212845,0.36926902780212845
CoxPH,2026,0.741145366891875,,0.7411454541831352,0.7266238166475811,0.1146541961582132,0.36926902780212845,0.36926902780212845
DeepSurv,42,0.7620443934122874,,0.7620443476244395,0.7467285810491912,0.11132003879686003,0.35685666909361224,0.35685666909361224
DeepSurv,123,0.7606072492715477,,0.7606071694921689,0.745834831262217,0.11049675711714887,0.3545100571111052,0.3545100571111052
DeepSurv,2026,0.7617445906219616,,0.7617447662034751,0.7461990745373311,0.11122406956044555,0.3566070538638597,0.3566070538638597
PCHazard,42,,0.7541447902752569,0.7700896283932382,0.7496470396055358,0.10930957776755794,0.3501902734748005,0.3501902734748005
PCHazard,123,,0.753851611423299,0.7673401812161447,0.748642634787973,0.10949568592686366,0.35031807463470455,0.35031807463470455
PCHazard,2026,,0.7548971082501263,0.7688304624096566,0.7489792853785031,0.10977273615357704,0.35158441947440244,0.35158441947440244
DeepHit,42,,0.7533712923966149,0.7707524703777876,0.7502440834199817,0.110202919782957,0.3518508797864684,0.3518508797864684
DeepHit,123,,0.7486329499297613,0.7688293491379324,0.7492414056375095,0.11060288000472318,0.35386437271027926,0.35386437271027926
DeepHit,2026,,0.743306691185258,0.7674485582184891,0.7476558347209807,0.11034125142918923,0.35218478763239264,0.35218478763239264
